Open,High,Low,Close,Volume
"213,37","218,95","194,14","216,67",93728300
"217,59","218,63","192,15","214,29",79943254
"213,93","214,24","193,63","209,68",86172451
"210,39","211,89","206,9","207,49",246421353
"207,72","212,7","211,6","208,14",80727006
"209,15","211,38","211,3","209,07",56713868
"211,5","214,86","212,72","213,25",66213186
"214,69","215,74",213,"214,1",49772707
"215,77","216,07","208,85","210,62",82542718
"212,09","217,51","207,11","216,75",60402929
"216,15","220,38","206,59","220,27",58046178
220,"221,55","208,61","221,55",37369801
"221,65","226,45","210,64","226,34",60412408
"227,09","227,85","212,35","227,82",59085861
"227,93","229,4","210,3","228,68",48169822
"229,3","233,08","211,92","232,98",62627687
"231,39","232,39","215,1","227,57",64710617
"228,92","232,64","219,03","230,54",53046527
"236,48","237,23","221,65","234,4",62631252
235,"236,27","223,25","234,82",43234278
"229,45","231,46","226,37","228,88",57345884
"230,28","230,44","229,25","224,18",66034585
"224,82","226,8","225,77","224,31",49151453
"227,01","227,78","228,68","223,96",48201835
"224,37","226,94","233,09","225,01",39960260
224,"224,8","232,33","218,54",61777576
"218,93","220,85","226,64","217,49",51391199
"218,7","219,49","222,27","217,96",41601345
"216,96","219,3","223,28","218,24",36311778
"219,19","220,33","223,09","218,8",41643840
"221,44","223,82","222,68","222,08",50036262
"224,37","224,48","217,13","218,36",62500996
"219,15","225,6","214,62","219,86",105568560
"199,09","213,5","216,01","209,27",119548589
"205,3","209,99","215,75","207,23",69660488
"206,9","213,64","216,12","209,82",63516417
"213,11","214,2","220,63","213,31",47161149
"212,1","216,78","217,02","216,24",42201646
"216,07","219,51","217,71","217,53",38028092
"219,01","221,89",196,"221,27",44155331
"220,57","223,03","201,07","221,72",41960574
"224,6","225,35","206,39","224,72",46414013
"223,92","226,83","208,83","226,05",44340240
"225,72","225,99","211,97","225,89",40687813
"225,77","227,17","215,6","226,51",30299033
"226,52","227,98","219,01","226,4",34765480
"227,79","228,34","219,7","224,53",43695321
"225,66","228,22","222,76","226,84",38677250
"226,76","227,28","223,65","227,18",30602208
226,"228,85","223,04","228,03",35934559
"227,92","229,86","225,45","226,49",38052167
"230,1","232,92","225,05","229,79",51906297
"230,19","230,4","223,9",229,52990770
"228,55",229,"224,33","222,77",50190574
"221,66","221,78","223,89","220,85",43840196
"221,63","225,48","224,89","222,38",36615398
"223,95","225,24","225,68","220,82",48423011
"220,82","221,27","228,88","220,91",67179965
"218,92","221,48","227,48","220,11",51591033
"221,46","223,09","221,17","222,66",44587072
"222,5","223,55","217,48","222,77",37498225
"223,58","224,04","221,52","222,5",36766619
"216,54","217,22","219,77","216,32",59357427
"215,75","216,9","216,71","216,79",45519339
"217,55","222,71","216,73","220,69",59894928
"224,99","229,82","217,89","228,87",66781315
"229,97","233,09","219,82","228,2",318679888
"227,34","229,45","221,91","226,47",54146023
"228,65","229,35","213,92","227,37",43556068
"224,93","227,29","214,5","226,37",42308715
"227,3","228,5","217,54","227,52",36636707
"228,46","229,52","224,63","227,79",34025967
"230,04",233,"227,62",233,54793391
"229,52","229,65","225,81","226,21",63285048
"225,89","227,37","225,73","226,78",32880605
"225,14","226,81","224,02","225,67",34044158
"227,9",228,"225,41","226,8",37345098
"224,5","225,69","227,3","221,69",39505354
"224,3","225,98","229,65","225,77",31855693
"225,23","229,75","223,74","229,54",33591091
"227,78","229,5","223,02","229,04",28183544
"229,3","229,41","223,32","227,55",31759188
"228,7","231,73","224,13","231,3",39882085
"233,61","237,49","221,33","233,85",64751367
"231,6","232,12","223,25","231,78",34082240
"233,43","233,85","224,83","232,15",32993810
"236,18","236,18","227,17",235,46431472
"234,45","236,85","227,34","236,48",36254470
"233,89","236,22","228,6","235,86",38846578
"234,08","235,14","232,37","230,76",52286979
"229,98","230,82","229,84","230,57",31109503
"229,74","233,22","230,52","231,41",38802304
"233,32","234,73","234,01","233,4",36087134
"233,1","234,33","234,45","233,67",35417247
"232,61","233,47","232,6","230,1",47070907
"229,34","229,83","227,76","225,91",64370086
"220,97","225,35","228,41","222,91",65276741
"220,99","222,79","229,57","222,01",44944468
"221,8","223,95","232,55","223,45",28111338
"222,61","226,07","232,32","222,72",54561121
"224,63","227,88","229,55","227,48",42137691
"227,17","228,66","225,37","226,96",38328824
225,"225,7","220,27","224,23",42005602
"224,55","225,59","219,71","224,23",40398299
"224,01","226,65","221,14","225,12",48566217
"225,02","228,87","221,19","228,22",44923941
